Country,date,total_vaccinaction,fully_vaccinacted,daily_vaccinactions,Vaccines
Algeria ,01/29/2021,0,,,Sputnik V
Algeria ,01/30/2021,30,,,Sputnik V
Argentina,12/29/2020,700,,,Sputnik V
Argentina,12/30/2020,,,15656,Sputnik V
Argentina,12/31/2020,,,15656,Sputnik V
Argentina,01/11/2021,,,11070,Sputnik V
